ID,Código,Nome,GTIN,SKU,Marca,Descrição
321,"CET8.15RP_LAB","LABOR CB DE POT²NCIA 8x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819203212","SKU-CET8.15RP_LAB","Labor Energy","LABOR CB DE POT²NCIA 8x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
134,"CET8.15_ALU","ALUFORCE CB DE POT²NCIA 8x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201348","SKU-CET8.15_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 8x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
297,"CET8.15_LAB","LABOR CB DE POT²NCIA 8x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202970","SKU-CET8.15_LAB","Labor Energy","LABOR CB DE POT²NCIA 8x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
55,"CLIP3,0_ALU","CLIP NASAL MOD.F1 PL/AL 3,0MM","7896819200556","SKU-CLIP3,0_ALU","Aluforce","CLIP NASAL MOD.F1 PL/AL 3,0MM"
213,"CLIP3,0_LAB","CLIP NASAL MOD.F1 PL/AL 3,0MM","7896819202130","SKU-CLIP3,0_LAB","Labor Energy","CLIP NASAL MOD.F1 PL/AL 3,0MM"
6,"DUI10_ALU","ALUFORCE CB DUPLEX 10mm² NEUTRO ISOLADO","7896819200068","SKU-DUI10_ALU","Aluforce","ALUFORCE CB DUPLEX 10mm² NEUTRO ISOLADO"
164,"DUI10_LAB","LABOR CB DUPLEX 10mm² NEUTRO ISOLADO","7896819201645","SKU-DUI10_LAB","Labor Energy","LABOR CB DUPLEX 10mm² NEUTRO ISOLADO"
7,"DUI16_ALU","ALUFORCE CB DUPLEX 16mm² NEUTRO ISOLADO","7896819200075","SKU-DUI16_ALU","Aluforce","ALUFORCE CB DUPLEX 16mm² NEUTRO ISOLADO"
165,"DUI16_LAB","LABOR CB DUPLEX 16mm² NEUTRO ISOLADO","7896819201652","SKU-DUI16_LAB","Labor Energy","LABOR CB DUPLEX 16mm² NEUTRO ISOLADO"
8,"DUI25_ALU","ALUFORCE CB DUPLEX 25mm² NEUTRO ISOLADO","7896819200082","SKU-DUI25_ALU","Aluforce","ALUFORCE CB DUPLEX 25mm² NEUTRO ISOLADO"
166,"DUI25_LAB","LABOR CB DUPLEX 25mm² NEUTRO ISOLADO","7896819201669","SKU-DUI25_LAB","Labor Energy","LABOR CB DUPLEX 25mm² NEUTRO ISOLADO"
9,"DUI35_ALU","ALUFORCE CB DUPLEX 35mm² NEUTRO ISOLADO","7896819200099","SKU-DUI35_ALU","Aluforce","ALUFORCE CB DUPLEX 35mm² NEUTRO ISOLADO"
167,"DUI35_LAB","LABOR CB DUPLEX 35mm² NEUTRO ISOLADO","7896819201676","SKU-DUI35_LAB","Labor Energy","LABOR CB DUPLEX 35mm² NEUTRO ISOLADO"
10,"DUI50_ALU","ALUFORCE CB DUPLEX 50mm² NEUTRO ISOLADO","7896819200105","SKU-DUI50_ALU","Aluforce","ALUFORCE CB DUPLEX 50mm² NEUTRO ISOLADO"
168,"DUI50_LAB","LABOR CB DUPLEX 50mm² NEUTRO ISOLADO","7896819201683","SKU-DUI50_LAB","Labor Energy","LABOR CB DUPLEX 50mm² NEUTRO ISOLADO"
1,"DUN10_ALU","ALUFORCE CB DUPLEX 10mm² NEUTRO N²","7896819200013","SKU-0001","Aluforce","ALUFORCE CB DUPLEX 10mm² NEUTRO N²"
